Date,TMUBMUSD03M
09/29/16,0.251
09/28/16,0.27699999999999997
09/27/16,0.264
09/26/16,0.198
09/23/16,0.172
09/22/16,0.175
09/21/16,0.213
09/20/16,0.304
09/19/16,0.292
09/16/16,0.294
09/15/16,0.294
09/14/16,0.327
09/13/16,0.363
09/12/16,0.371
09/09/16,0.354
09/08/16,0.34600000000000003
09/07/16,0.348
09/06/16,0.33799999999999997
09/02/16,0.327
09/01/16,0.327
08/31/16,0.332
08/30/16,0.33
08/29/16,0.325
08/26/16,0.327
08/25/16,0.332
08/24/16,0.32
08/23/16,0.315
08/22/16,0.299
08/19/16,0.294
08/18/16,0.299
08/17/16,0.307
08/16/16,0.282
08/15/16,0.271
08/12/16,0.287
08/11/16,0.295
08/10/16,0.298
08/09/16,0.29
08/08/16,0.29
08/05/16,0.27399999999999997
08/04/16,0.264
08/03/16,0.27699999999999997
08/02/16,0.289
08/01/16,0.261
07/29/16,0.266
07/28/16,0.24600000000000002
07/27/16,0.294
07/26/16,0.315
07/25/16,0.297
07/22/16,0.322
07/21/16,0.312
07/20/16,0.322
07/19/16,0.322
07/18/16,0.312
07/15/16,0.313
07/14/16,0.321
07/13/16,0.315
07/12/16,0.31
07/11/16,0.292
07/08/16,0.289
07/07/16,0.292
07/06/16,0.27899999999999997
07/05/16,0.254
07/01/16,0.264
06/30/16,0.261
06/29/16,0.264
06/28/16,0.26899999999999996
06/27/16,0.256
06/24/16,0.256
06/23/16,0.287
06/22/16,0.287
06/21/16,0.27699999999999997
06/20/16,0.27899999999999997
06/17/16,0.265
06/16/16,0.259
06/15/16,0.265
06/14/16,0.272
06/13/16,0.275
06/10/16,0.256
06/09/16,0.264
06/08/16,0.24600000000000002
06/07/16,0.289
06/06/16,0.27
06/03/16,0.292
06/02/16,0.292
06/01/16,0.303
05/31/16,0.34299999999999997
05/27/16,0.31
05/26/16,0.29
05/25/16,0.341
05/24/16,0.354
05/23/16,0.354
05/20/16,0.326
05/19/16,0.303
05/18/16,0.295
05/17/16,0.29
05/16/16,0.27
05/13/16,0.27699999999999997
05/12/16,0.272
05/11/16,0.265
05/10/16,0.254
05/09/16,0.22399999999999998
05/06/16,0.20800000000000002
05/05/16,0.201
05/04/16,0.201
05/03/16,0.20600000000000002
05/02/16,0.22399999999999998
04/29/16,0.214
04/28/16,0.21899999999999997
04/27/16,0.244
04/26/16,0.252
04/25/16,0.23600000000000002
04/22/16,0.242
04/21/16,0.23600000000000002
04/20/16,0.23600000000000002
04/19/16,0.221
04/18/16,0.21100000000000002
04/15/16,0.22899999999999998
04/14/16,0.226
04/13/16,0.242
04/12/16,0.231
04/11/16,0.231
04/08/16,0.23399999999999999
04/07/16,0.239
04/06/16,0.242
04/05/16,0.239
04/04/16,0.221
04/01/16,0.23600000000000002
03/31/16,0.20800000000000002
03/30/16,0.203
03/29/16,0.231
03/28/16,0.285
03/24/16,0.295
03/23/16,0.308
03/22/16,0.313
03/21/16,0.305
03/18/16,0.29
03/17/16,0.295
03/16/16,0.318
03/15/16,0.34299999999999997
03/14/16,0.32299999999999995
03/11/16,0.326
03/10/16,0.318
03/09/16,0.315
03/08/16,0.315
03/07/16,0.305
03/04/16,0.27
03/03/16,0.275
03/02/16,0.308
03/01/16,0.33299999999999996
02/29/16,0.313
02/26/16,0.321
02/25/16,0.331
02/24/16,0.33799999999999997
02/23/16,0.33299999999999996
02/22/16,0.313
02/19/16,0.305
02/18/16,0.31
02/17/16,0.315
02/16/16,0.29
02/12/16,0.3
02/11/16,0.295
02/10/16,0.318
02/09/16,0.31
02/08/16,0.315
02/05/16,0.295
02/04/16,0.298
02/03/16,0.33799999999999997
02/02/16,0.348
02/01/16,0.354
01/29/16,0.32299999999999995
01/28/16,0.33799999999999997
01/27/16,0.32299999999999995
01/26/16,0.315
01/25/16,0.313
01/22/16,0.313
01/21/16,0.282
01/20/16,0.27
01/19/16,0.242
01/15/16,0.239
01/14/16,0.257
01/13/16,0.226
01/12/16,0.214
01/11/16,0.201
01/08/16,0.203
01/07/16,0.214
01/06/16,0.203
01/05/16,0.21100000000000002
01/04/16,0.18600000000000003
12/31/15,0.17300000000000001
12/30/15,0.18600000000000003
12/29/15,0.21899999999999997
12/28/15,0.198
12/24/15,0.201
12/23/15,0.203
12/22/15,0.20800000000000002
12/21/15,0.168
12/18/15,0.18600000000000003
12/17/15,0.22399999999999998
12/16/15,0.267
12/15/15,0.265
12/14/15,0.244
12/11/15,0.231
12/10/15,0.242
12/09/15,0.265
12/08/15,0.282
12/07/15,0.247
12/04/15,0.22399999999999998
12/03/15,0.21600000000000003
12/02/15,0.21899999999999997
12/01/15,0.20800000000000002
11/30/15,0.20800000000000002
11/27/15,0.175
11/26/15,0.165
11/25/15,0.188
11/24/15,0.163
11/23/15,0.11900000000000001
11/20/15,0.107
11/19/15,0.10400000000000001
11/18/15,0.13
11/17/15,0.14
11/16/15,0.125
11/13/15,0.13
11/12/15,0.14
11/10/15,0.135
11/09/15,0.109
11/06/15,0.073
11/05/15,0.051
